"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","1141","56","0","2009","A","","Alabama -- Statewide","Private","Fishing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",12,52,1206704,587690,11388,450,23393,"",0.45,0.58,0.26,0.32,0.18,0.45,0.45,"",-1,-7.7,12,30.0,373494,44.8,98821,20.2,4033,54.8,49,12.2,2563,12.3
"01003","5","1141","76","0","2009","A","N","Baldwin County, Alabama","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","1141","76","0","2009","A","","Mobile County, Alabama","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,36,883903,437774,9710,468,24328,"",4.01,4.42,2.10,2.50,1.53,0.47,0.47,"",0,0.0,8,28.6,300599,51.5,97243,28.6,3303,51.6,60,14.7,3117,14.7
"01105","5","1141","76","0","2009","A","N","Perry County, Alabama","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",26.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","1141","56","0","2009","A","","Alaska -- Statewide","Private","Fishing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",69,72,5018838,3570910,87431,1333,69305,"",14.27,4.67,5.26,3.90,2.21,1.12,1.12,"",8,13.1,1,1.4,-522667,-9.4,-20594,-0.6,-19140,-18.0,-171,-11.4,-8928,-11.4
"02013","5","1141","76","0","2009","A","N","Aleutian East Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",126.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","1141","76","0","2009","A","N","Aleutian West Census Area, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",53.78,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","1141","76","0","2009","A","","Anchorage Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,5,426358,407521,10061,1537,79942,"",2.70,0.69,0.90,0.91,0.53,1.22,1.22,"",-1,-16.7,-2,-28.6,42147,11.0,39132,10.6,-840,-7.7,469,43.9,24393,43.9
"02100","5","1141","76","0","2009","A","N","Haines Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",30.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","1141","76","0","2009","A","N","Juneau Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.10,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02122","5","1141","76","0","2009","A","","Kenai Peninsula Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,14,576745,534640,13072,797,41443,"",28.10,15.61,12.11,11.48,6.41,0.78,0.78,"",3,33.3,7,100.0,183963,46.8,158958,42.3,1952,17.6,-350,-30.5,-18220,-30.5
"02130","5","1141","76","0","2009","A","N","Ketchikan Gateway Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.45,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","1141","76","0","2009","A","","Kodiak Island Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,19,654436,607836,14625,665,34596,"",180.65,66.09,46.13,37.83,18.81,0.70,0.70,"",3,18.8,4,26.7,147978,29.2,101378,20.0,329,2.3,12,1.8,644,1.9
"02195","5","1141","76","0","2009","A","","Petersburg Census Area, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,4,281791,278331,6848,1275,66304,"",130.84,50.36,80.79,70.02,33.49,1.51,1.51,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02220","5","1141","76","0","2009","A","N","Sitka Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",22.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02261","5","1141","76","0","2009","A","","Valdez-Cordova Census Area, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,7,291206,268406,6603,764,39710,"",75.00,30.16,21.24,20.48,10.91,0.67,0.67,"",2,28.6,-1,-12.5,-72656,-20.0,-70522,-20.8,-3430,-34.2,-84,-9.9,-4394,-10.0
"02275","5","1141","76","0","2009","A","N","Wrangell City and Borough, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",95.29,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02999","5","1141","76","0","2009","A","","Unknown Or Undefined, Alaska","Private","Fishing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,7,833951,508346,12505,2347,122042,"",43.40,77.36,105.58,55.09,29.01,1.40,1.40,"",1,16.7,-7,-50.0,-319536,-27.7,-124884,-19.7,-6240,-33.3,724,44.6,37641,44.6
"04000","5","1141","56","0","2009","A","N","Arizona -- Statewide","Private","Fishing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
